Image1,Image2,dx (um),dy (um),dt (minutes),vx (nm/min),vy (nm/min),v (nm/min),bearing (deg)
Height 31, Height 32, -0.0535117056856187, 0.0602006688963211, 12.6808669116667, -4.21987755713979, 4.74736225178226, 6.35175683940272, 131.63353933657
Height 32, Height 33, -0.0668896321070234, 0.0735785953177257, 12.6865904233333, -5.27246721735409, 5.7997139390895, 7.83808601211691, 132.273689006094
Height 33, Height 34, -0.0735785953177257, 0.0735785953177257, 12.6875440383333, -5.7992780238177, 5.7992780238177, 8.20141763325523, 135
Height 34, Height 35, -0.0802675585284281, 0.0802675585284281, 12.6852945833333, -6.32760697838962, 6.32760697838962, 8.94858760620525, 135
Height 35, Height 36, -0.0869565217391304, 0.0802675585284281, 12.693463395, -6.85049612018284, 6.32353488016878, 9.3228960346746, 137.290610042639
Height 36, Height 37, -0.0869565217391304, 0.0735785953177257, 12.69524726, -6.84953352685865, 5.79575913811117, 8.97256560424942, 139.763641690726
Height 37, Height 38, -0.0869565217391304, 0.0668896321070234, 12.6983415933333, -6.8478644317446, 5.26758802441893, 8.6394867249481, 142.431407971173
Height 38, Height 39, -0.0936454849498328, 0.0668896321070234, 12.70113952, -7.3729986827066, 5.26642763050472, 9.06070469458843, 144.462322208026
Height 39, Height 40, -0.0936454849498328, 0.0602006688963211, 12.69881869, -7.37434616840197, 4.74065110825841, 8.76668434139478, 147.264773727892
Height 40, Height 41, -0.0869565217391304, 0.0602006688963211, 12.703971595, -6.84482967305709, 4.73872823519337, 8.32509690875618, 145.304846468766
Height 41, Height 42, -0.0869565217391304, 0.0602006688963211, 12.708289355, -6.842504078247, 4.73711820801715, 8.32226837932751, 145.304846468766
Height 42, Height 43, -0.0869565217391304, 0.0535117056856187, 12.711451525, -6.84080189961865, 4.20972424591917, 8.03233147078144, 148.392497753751
Height 43, Height 44, -0.0869565217391304, 0.0535117056856187, 12.7151266366667, -6.83882467111051, 4.20850748991416, 8.03000984898857, 148.392497753751
Height 44, Height 45, -0.0869565217391304, 0.0535117056856187, 12.7180794883333, -6.83723685002112, 4.20753036924377, 8.02814546152443, 148.392497753751
Height 45, Height 46, -0.0869565217391304, 0.0535117056856187, 12.7115226766667, -6.84076360881205, 4.20970068234587, 8.03228651048943, 148.392497753751
Height 46, Height 47, -0.0869565217391304, 0.0535117056856187, 12.71782034, -6.83737617094931, 4.20761610519957, 8.02830904934534, 148.392497753751
Height 47, Height 48, -0.0869565217391304, 0.0535117056856187, 12.719727565, -6.83635095915126, 4.20698520563154, 8.02710526635169, 148.392497753751
Height 48, Height 49, -0.0802675585284281, 0.0468227424749164, 12.716477765, -6.31209050271383, 3.68205279324973, 7.30753031377416, 149.743562836471
Height 49, Height 50, -0.0735785953177257, 0.0468227424749164, 12.716502675, -5.78607162662558, 3.68204558057991, 6.85828582999496, 147.528807709152
Height 50, Height 51, -0.0735785953177257, 0.0468227424749164, 12.7177610266667, -5.78549912704333, 3.68168126266394, 6.85760724078522, 147.528807709152
Height 51, Height 52, -0.0668896321070234, 0.0468227424749164, 12.7256924516667, -5.25626659304209, 3.67938661512946, 6.41609104990914, 145.007979801441
Height 52, Height 53, -0.0668896321070234, 0.0468227424749164, 12.7268909533333, -5.25577160614425, 3.67904012430097, 6.41548684139938, 145.007979801441
Height 53, Height 54, -0.0602006688963211, 0.0468227424749164, 12.725092955, -4.73086280070487, 3.67955995610378, 5.99334833875486, 142.125016348902
Height 54, Height 55, -0.0602006688963211, 0.0535117056856187, 12.7268585383333, -4.73020649322034, 4.20462799397364, 6.32880320725891, 138.36646066343
Height 55, Height 56, -0.0535117056856187, 0.0468227424749164, 12.7283045783333, -4.20415031368032, 3.67863152447028, 5.58634135663449, 138.81407483429
Height 56, Height 57, -0.0535117056856187, 0.0468227424749164, 12.7378803966667, -4.20098980515016, 3.67586607950639, 5.58214177331974, 138.81407483429
Height 57, Height 58, -0.0535117056856187, 0.0468227424749164, 12.7344463583333, -4.20212266633806, 3.67685733304581, 5.58364708327137, 138.81407483429
Height 58, Height 59, -0.0535117056856187, 0.0468227424749164, 12.7335664316667, -4.2024130452991, 3.67711141463671, 5.58403292960846, 138.81407483429
Height 59, Height 60, -0.0468227424749164, 0.040133779264214, 12.737301, -3.67603328797179, 3.15088567540439, 4.84162176070635, 139.398705354996
Height 60, Height 61, -0.0468227424749164, 0.0468227424749164, 12.7422493733333, -3.67460572329607, 3.67460572329607, 5.19667725025909, 135
Height 61, Height 62, -0.0468227424749164, 0.0468227424749164, 12.739226015, -3.67547780530656, 3.67547780530656, 5.19791056046583, 135
Height 62, Height 63, -0.020066889632107, 0.0535117056856187, 12.7434961233333, -1.57467695190526, 4.19913853841402, 4.48468192491458, 110.556045219583
Height 63, Height 64, -0.00668896321070234, 0.00668896321070234, 12.745679425, -0.524802404615817, 0.524802404615817, 0.742182678173701, 135
Height 64, Height 65, 0.00668896321070234, -0.0267558528428094, 12.7514000333333, 0.524566964664019, -2.09826785865608, 2.1628450030194, -75.9637565320735
Height 65, Height 66, 0.0267558528428094, -0.0602006688963211, 12.7535021216667, 2.09792201291553, -4.72032452905993, 5.16553389611572, -66.0375110254218
Height 66, Height 67, 0.0468227424749164, -0.0735785953177257, 12.7536333733333, 3.67132573944131, -5.7692261619792, 6.83831874024234, -57.5288077091515
Height 67, Height 68, 0.0602006688963211, -0.0869565217391304, 12.75413451, 4.72009048117849, -6.81790847281337, 8.29235371255786, -55.304846468766
Height 68, Height 69, 0.0735785953177257, -0.0869565217391304, 12.7566138116667, 5.76787824762978, -6.81658338356246, 8.92940247186454, -49.7636416907262
Height 69, Height 70, 0.0802675585284281, -0.0869565217391304, 12.757912605, 6.29159024784118, -6.81588943516128, 9.27579951481668, -47.2906100426385
Height 70, Height 71, 0.0869565217391304, -0.0869565217391304, 12.757544325, 6.8160861936986, -6.8160861936986, 9.63940153743257, -45
